Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638cfd8bf16381c2d49b31d3,60cf6ac511be7d68ef982d47,APPROVED,2022-12-04T20:05:31.283000Z,2022-12-04T20:13:45.844000Z,2022-12-04T21:16:08.464000,2022-12-04T20:13:46.278324Z,495,C1GK0VPE,335,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
638cfd8ccb060245e107b796,60c7375cba154e330acc1f70,APPROVED,2022-12-04T20:05:32.216000Z,2022-12-04T20:19:28.445000Z,2022-12-04T21:16:08.583000,2022-12-04T20:19:29.117305Z,837,C1GK0VPE,139,English,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
638cfd8cd2eebbeccdef520f,5f632ea32e85353d93872c67,APPROVED,2022-12-04T20:05:32.486000Z,2022-12-04T20:21:43.265000Z,2022-12-04T21:16:00.422000,2022-12-04T20:21:43.692669Z,971,C1GK0VPE,235,"Hungarian, English",23,Male,Mixed,Hungary,Hungary,Hungary,Hungarian,No,DATA_EXPIRED
638cfd8cdc34ccca2b1b79b9,60379326171365000ac6ae93,APPROVED,2022-12-04T20:05:32.755000Z,2022-12-04T20:14:44.534000Z,2022-12-04T21:16:00.552000,2022-12-04T20:14:44.959872Z,552,C1GK0VPE,182,"Polish, English",23,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
638cfd8cef34a922adbf2f75,5d5575339025920017fd271f,APPROVED,2022-12-04T20:05:32.209000Z,2022-12-04T20:12:20.903000Z,2022-12-04T21:16:00.668000,2022-12-04T20:12:21.327794Z,409,C1GK0VPE,492,"English, Portuguese",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638cfd8d822ecc869505e391,5f0082e67535f20164d33b15,APPROVED,2022-12-04T20:05:33.697000Z,2022-12-04T20:38:14.010000Z,2022-12-04T21:16:00.790000,2022-12-04T20:38:14.706676Z,1961,C1GK0VPE,383,"English, Polish",27,Male,White,United States,Poland,United States,English,Yes,Unemployed (and job seeking)
638cfd8db5405f032f05e3ae,60fd796b0b97c56da029622e,APPROVED,2022-12-04T20:05:37.230000Z,2022-12-04T20:11:14.774000Z,2022-12-04T21:16:08.707000,2022-12-04T20:11:15.219380Z,338,C1GK0VPE,156,"English, Spanish",26,Female,White,Spain,Netherlands,Spain,Spanish,Yes,Full-Time
638cfd8dcd5eca0fa9f924f0,616c4409a2bcfe1fdb942117,APPROVED,2022-12-04T20:05:52.075000Z,2022-12-04T20:11:31.892000Z,2022-12-04T21:16:08.836000,2022-12-04T20:11:32.262797Z,340,C1GK0VPE,399,"English, Portuguese",25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
638cfd8e33ffd791ac60fbb5,5d2861fee6f19f001b2cfc94,APPROVED,2022-12-04T20:05:48.019000Z,2022-12-04T20:22:23.739000Z,2022-12-04T21:16:08.954000,2022-12-04T20:22:24.172693Z,996,C1GK0VPE,364,"English, Polish",56,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
638cfd8e82e76c01adf924b9,5ff78165c6542445fadb18ec,APPROVED,2022-12-04T20:05:34.940000Z,2022-12-04T20:17:54.867000Z,2022-12-04T21:16:09.080000,2022-12-04T20:17:55.250123Z,740,C1GK0VPE,13,"Polish, English",20,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
638cfd8ee4dd82250f80e3b9,5e29e902c2253a0587298e26,APPROVED,2022-12-04T20:05:34.116000Z,2022-12-04T20:18:41.718000Z,2022-12-04T21:16:00.914000,2022-12-04T20:18:42.125967Z,788,C1GK0VPE,326,"English, Polish",29,Male,White,DATA_EXPIRED,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
638cfd8f15be2804a2182e96,5bd170999afb5b00015ba3b1,APPROVED,2022-12-04T20:05:40.432000Z,2022-12-04T20:16:53Z,2022-12-04T21:16:09.199000,2022-12-04T20:16:53.402692Z,673,C1GK0VPE,645,"Portuguese, Spanish, English",53,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
638cfd8f569ef97028442ed2,5debd5a7245a462bf05e20f9,APPROVED,2022-12-04T20:05:35.463000Z,2022-12-04T20:16:21.288000Z,2022-12-04T21:16:09.322000,2022-12-04T20:16:21.765548Z,646,C1GK0VPE,144,"Portuguese, English, Spanish",24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
638cfd8f649f89bb53442ee9,5e82436705aa580b7fb0610d,APPROVED,2022-12-04T20:05:42.679000Z,2022-12-04T20:13:39.786000Z,2022-12-04T21:16:09.442000,2022-12-04T20:13:40.208014Z,478,C1GK0VPE,162,"Italian, English",25,Female,White,Italy,Italy,Italy,Italian,Yes,DATA_EXPIRED
638cfd8f71f9d75dd0889bee,5d59a879a0883e0015150bdf,APPROVED,2022-12-04T20:05:35.167000Z,2022-12-04T20:30:40.237000Z,2022-12-04T21:16:09.570000,2022-12-04T20:30:40.638627Z,1506,C1GK0VPE,154,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638cfd90c4bd18464e6f0ff2,5c0ed7dbe965d00001203c8b,APPROVED,2022-12-04T20:05:36.839000Z,2022-12-04T20:15:52.512000Z,2022-12-04T21:16:09.693000,2022-12-04T20:15:53.019578Z,616,C1GK0VPE,323,"Portuguese, English",27,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
638cfd915917360b4e9a5ab0,5f9261c7e1a8d117eadb3ba9,APPROVED,2022-12-04T20:05:37.330000Z,2022-12-04T20:15:28.013000Z,2022-12-04T21:16:09.815000,2022-12-04T20:15:28.418775Z,591,C1GK0VPE,432,English,23,Female,White,Canada,Canada,Canada,Portuguese,Yes,Part-Time
638cfd91804c2d73a3624115,5b6949ec080ab7000131abef,APPROVED,2022-12-04T20:05:37.770000Z,2022-12-04T20:15:23.806000Z,2022-12-04T21:16:09.940000,2022-12-04T20:15:24.190683Z,587,C1GK0VPE,170,"French, Italian, English",40,Female,White,Italy,Italy,Italy,Italian,No,Unemployed (and job seeking)
638cfd91e27626b9b00585e1,59c558114374e1000125c522,APPROVED,2022-12-04T20:05:47.380000Z,2022-12-04T20:26:09.993000Z,2022-12-04T21:16:10.060000,2022-12-04T20:26:10.394175Z,1223,C1GK0VPE,692,English,52,Female,White,New Zealand,United Kingdom,New Zealand,English,No,Part-Time
